Создано программой GetData Graph Digitizer 2.26.0.20, дата создания February 21 2017, 03:13,
на основе файла 'Z:\Study\МСС\ЦНИИМАШ\Сканы эксперимента\frame4.jpg'

Линия #1
 7.39049454041284e+001    9.30073589128042e+000
 7.48882656250631e+001    8.98907231175146e+000
 7.59314892086788e+001    8.69430309092809e+000
 7.68970312105870e+001    7.89342823515966e+000
 7.77680946770973e+001    6.81417345423292e+000

Линия #9
 5.97488307069093e+001    1.64894352356220e+001
 6.09542401340986e+001    1.59416979757651e+001
 6.19544265745124e+001    1.54529160031100e+001
 6.29382893774564e+001    1.55376764040897e+001
 6.40500399144106e+001    1.53104124662257e+001
 6.49305581610395e+001    1.48890564094809e+001
 6.59903362680863e+001    1.41894358705584e+001
 6.68879977973479e+001    1.37933906873302e+001
 6.78375509464304e+001    1.38106602357230e+001
 6.90942632342390e+001    1.32460755158714e+001
 6.98637368777407e+001    1.29427562992905e+001
 7.08899210774063e+001    1.26985871799416e+001
 7.19328560535702e+001    1.21929541396987e+001
 7.27882192747064e+001    1.21427075823527e+001
 7.37367796141549e+001    1.14346055919425e+001
 7.47969386830380e+001    1.10133252946538e+001
 7.59076386888679e+001    1.00185170541029e+001
 7.70024768291507e+001    9.93463329825791e+000
 7.73875022583533e+001    9.99383750938696e+000
